,start_page,end_page,guid,pages,ship_name,hull_number,country,base_port,ship_class,ship_type,ship_role,displacement_full_load_tons,length_metres,beam_metres,draught_metres,hull_form,hull_shape,bow_shape,speed_knots,complement_total_personnel,superstructure_layout,distinct_superstructure_blocks_number,funnel_arrangement,funnels_total,funnel_shape,spacing_between_funnels,smokestacks_total,main_machinery,main_gun,main_gun_caliber_inches,main_gun_turrets_total,torpedo_tubes_visible_number,length_to_beam_ratio,approximate_size_category,mast_configuration,freeboard_height,radar_configuration,radar_airsearch,radar_surfacesearch,radar_firecontrol,sonar,gunmounts_position,gunmounts_number,gunmounts_size,missile_launchers,CIWS,CIWS_positions,flight_deck,hangar,hangar_capacity,helicopter_platform,helicopter_capacity,builder,launch_year,commission_year,CIWS_count,CIWS_type
16,10,24,a2383b76-f9c1-44e4-9a3a-d625cf3766b8,10-24,Drummond, 33,Argentina,Mar del Plata,Drummond (Type A69),Frigate,"Patrol, ASW",1170.0,80.0,10.3,5.3,Monohull,Sleek,Fine,23.0,98.0,Stealthy/angular,Multiple,Twin fore-aft,2.0,Raked,Fore-aft separated,2.0,CODOG,5 in/127 mm,5.0,1.0,0.0,Long and narrow,"Medium (2,000-6,000 tons)",Enclosed,Medium,Complex arrays (AEGIS-type systems),DA-08A; E/F-band,ZW06; I-band,WM-25; I/J-band,DSQS-21BZ; Hull-mounted,Aft,2.0,Medium (30mm-76mm),"8 x MM40 Exocet, Albatros SAM",,,y,y,1.0,y,1.0,Blohm + Voss,1981.0,1983.0,,
17,10,24,9664c7c3-edd9-4b74-9759-4de42121c380,10-24,Espora,41,Argentina,Puerto Belgrano,Espora (MEKO 140 A16),Frigate,"Patrol, ASW",1850.0,91.2,11.1,3.4,Monohull,Sleek,Fine,27.0,93.0,Single continuous,1,Single compact,1.0,Raked,,1.0,2 x Diesels,3.9 in/100 mm,3.9,1.0,0.0,Long and narrow,"Small (500-2,000 tons)",Pole,Medium,Simple arrays (1-2 basic radars),DRBV 51A; G-band,,DRBC 32E; K/I-band,Diodon; Hull-mounted,Forward,2.0,Large (76mm-127mm),4 x MM38 Exocet,,,n,n,0.0,n,0.0,Lorient Naval Dockyard,1977.0,1978.0,,
17,10,24,9664c7c3-edd9-4b74-9759-4de42121c380,10-24,Espora,41,Argentina,Puerto Belgrano,Espora (MEKO 140 A16),Frigate,"Patrol, ASW",1850.0,91.2,11.1,3.4,Monohull,Sleek,Fine,27.0,93.0,Single continuous,1,Single compact,1.0,Raked,,1.0,2 x Diesels,3.9 in/100 mm,3.9,1.0,0.0,Long and narrow,"Small (500-2,000 tons)",Pole,Medium,Simple arrays (1-2 basic radars),DRBV 51A; G-band,,DRBC 32E; K/I-band,Diodon; Hull-mounted,Forward,2.0,Medium (30mm-76mm),4 x MM38 Exocet,,,n,n,0.0,n,0.0,Lorient Naval Dockyard,1977.0,1978.0,,
17,10,24,9664c7c3-edd9-4b74-9759-4de42121c380,10-24,Espora,41,Argentina,Puerto Belgrano,Espora (MEKO 140 A16),Frigate,"Patrol, ASW",1850.0,91.2,11.1,3.4,Monohull,Sleek,Fine,27.0,93.0,Single continuous,1,Single compact,1.0,Raked,,1.0,2 x Diesels,3.9 in/100 mm,3.9,1.0,0.0,Long and narrow,"Small (500-2,000 tons)",Pole,Medium,Simple arrays (1-2 basic radars),DRBV 51A; G-band,,DRBC 32E; K/I-band,Diodon; Hull-mounted,Aft,2.0,Large (76mm-127mm),4 x MM38 Exocet,,,n,n,0.0,n,0.0,Lorient Naval Dockyard,1977.0,1978.0,,
17,10,24,9664c7c3-edd9-4b74-9759-4de42121c380,10-24,Espora,41,Argentina,Puerto Belgrano,Espora (MEKO 140 A16),Frigate,"Patrol, ASW",1850.0,91.2,11.1,3.4,Monohull,Sleek,Fine,27.0,93.0,Single continuous,1,Single compact,1.0,Raked,,1.0,2 x Diesels,3.9 in/100 mm,3.9,1.0,0.0,Long and narrow,"Small (500-2,000 tons)",Pole,Medium,Simple arrays (1-2 basic radars),DRBV 51A; G-band,,DRBC 32E; K/I-band,Diodon; Hull-mounted,Aft,2.0,Medium (30mm-76mm),4 x MM38 Exocet,,,n,n,0.0,n,0.0,Lorient Naval Dockyard,1977.0,1978.0,,
17,10,24,9664c7c3-edd9-4b74-9759-4de42121c380,10-24,Espora, 42,Argentina,Puerto Belgrano,Espora (MEKO 140 A16),Frigate,"Patrol, ASW",1850.0,91.2,11.1,3.4,Monohull,Sleek,Fine,27.0,93.0,Single continuous,1,Single compact,1.0,Raked,,1.0,2 x Diesels,3.9 in/100 mm,3.9,1.0,0.0,Long and narrow,"Small (500-2,000 tons)",Pole,Medium,Simple arrays (1-2 basic radars),DRBV 51A; G-band,,DRBC 32E; K/I-band,Diodon; Hull-mounted,Forward,2.0,Large (76mm-127mm),4 x MM38 Exocet,,,n,n,0.0,n,0.0,Lorient Naval Dockyard,1977.0,1978.0,,
17,10,24,9664c7c3-edd9-4b74-9759-4de42121c380,10-24,Espora, 42,Argentina,Puerto Belgrano,Espora (MEKO 140 A16),Frigate,"Patrol, ASW",1850.0,91.2,11.1,3.4,Monohull,Sleek,Fine,27.0,93.0,Single continuous,1,Single compact,1.0,Raked,,1.0,2 x Diesels,3.9 in/100 mm,3.9,1.0,0.0,Long and narrow,"Small (500-2,000 tons)",Pole,Medium,Simple arrays (1-2 basic radars),DRBV 51A; G-band,,DRBC 32E; K/I-band,Diodon; Hull-mounted,Forward,2.0,Medium (30mm-76mm),4 x MM38 Exocet,,,n,n,0.0,n,0.0,Lorient Naval Dockyard,1977.0,1978.0,,
17,10,24,9664c7c3-edd9-4b74-9759-4de42121c380,10-24,Espora, 42,Argentina,Puerto Belgrano,Espora (MEKO 140 A16),Frigate,"Patrol, ASW",1850.0,91.2,11.1,3.4,Monohull,Sleek,Fine,27.0,93.0,Single continuous,1,Single compact,1.0,Raked,,1.0,2 x Diesels,3.9 in/100 mm,3.9,1.0,0.0,Long and narrow,"Small (500-2,000 tons)",Pole,Medium,Simple arrays (1-2 basic radars),DRBV 51A; G-band,,DRBC 32E; K/I-band,Diodon; Hull-mounted,Aft,2.0,Large (76mm-127mm),4 x MM38 Exocet,,,n,n,0.0,n,0.0,Lorient Naval Dockyard,1977.0,1978.0,,
17,10,24,9664c7c3-edd9-4b74-9759-4de42121c380,10-24,Espora, 42,Argentina,Puerto Belgrano,Espora (MEKO 140 A16),Frigate,"Patrol, ASW",1850.0,91.2,11.1,3.4,Monohull,Sleek,Fine,27.0,93.0,Single continuous,1,Single compact,1.0,Raked,,1.0,2 x Diesels,3.9 in/100 mm,3.9,1.0,0.0,Long and narrow,"Small (500-2,000 tons)",Pole,Medium,Simple arrays (1-2 basic radars),DRBV 51A; G-band,,DRBC 32E; K/I-band,Diodon; Hull-mounted,Aft,2.0,Medium (30mm-76mm),4 x MM38 Exocet,,,n,n,0.0,n,0.0,Lorient Naval Dockyard,1977.0,1978.0,,
17,10,24,9664c7c3-edd9-4b74-9759-4de42121c380,10-24,Espora, 43,Argentina,Puerto Belgrano,Espora (MEKO 140 A16),Frigate,"Patrol, ASW",1850.0,91.2,11.1,3.4,Monohull,Sleek,Fine,27.0,93.0,Single continuous,1,Single compact,1.0,Raked,,1.0,2 x Diesels,3.9 in/100 mm,3.9,1.0,0.0,Long and narrow,"Small (500-2,000 tons)",Pole,Medium,Simple arrays (1-2 basic radars),DRBV 51A; G-band,,DRBC 32E; K/I-band,Diodon; Hull-mounted,Forward,2.0,Large (76mm-127mm),4 x MM38 Exocet,,,n,n,0.0,n,0.0,Lorient Naval Dockyard,1977.0,1978.0,,
17,10,24,9664c7c3-edd9-4b74-9759-4de42121c380,10-24,Espora, 43,Argentina,Puerto Belgrano,Espora (MEKO 140 A16),Frigate,"Patrol, ASW",1850.0,91.2,11.1,3.4,Monohull,Sleek,Fine,27.0,93.0,Single continuous,1,Single compact,1.0,Raked,,1.0,2 x Diesels,3.9 in/100 mm,3.9,1.0,0.0,Long and narrow,"Small (500-2,000 tons)",Pole,Medium,Simple arrays (1-2 basic radars),DRBV 51A; G-band,,DRBC 32E; K/I-band,Diodon; Hull-mounted,Forward,2.0,Medium (30mm-76mm),4 x MM38 Exocet,,,n,n,0.0,n,0.0,Lorient Naval Dockyard,1977.0,1978.0,,
17,10,24,9664c7c3-edd9-4b74-9759-4de42121c380,10-24,Espora, 43,Argentina,Puerto Belgrano,Espora (MEKO 140 A16),Frigate,"Patrol, ASW",1850.0,91.2,11.1,3.4,Monohull,Sleek,Fine,27.0,93.0,Single continuous,1,Single compact,1.0,Raked,,1.0,2 x Diesels,3.9 in/100 mm,3.9,1.0,0.0,Long and narrow,"Small (500-2,000 tons)",Pole,Medium,Simple arrays (1-2 basic radars),DRBV 51A; G-band,,DRBC 32E; K/I-band,Diodon; Hull-mounted,Aft,2.0,Large (76mm-127mm),4 x MM38 Exocet,,,n,n,0.0,n,0.0,Lorient Naval Dockyard,1977.0,1978.0,,
17,10,24,9664c7c3-edd9-4b74-9759-4de42121c380,10-24,Espora, 43,Argentina,Puerto Belgrano,Espora (MEKO 140 A16),Frigate,"Patrol, ASW",1850.0,91.2,11.1,3.4,Monohull,Sleek,Fine,27.0,93.0,Single continuous,1,Single compact,1.0,Raked,,1.0,2 x Diesels,3.9 in/100 mm,3.9,1.0,0.0,Long and narrow,"Small (500-2,000 tons)",Pole,Medium,Simple arrays (1-2 basic radars),DRBV 51A; G-band,,DRBC 32E; K/I-band,Diodon; Hull-mounted,Aft,2.0,Medium (30mm-76mm),4 x MM38 Exocet,,,n,n,0.0,n,0.0,Lorient Naval Dockyard,1977.0,1978.0,,
17,10,24,9664c7c3-edd9-4b74-9759-4de42121c380,10-24,Espora, 44,Argentina,Puerto Belgrano,Espora (MEKO 140 A16),Frigate,"Patrol, ASW",1850.0,91.2,11.1,3.4,Monohull,Sleek,Fine,27.0,93.0,Single continuous,1,Single compact,1.0,Raked,,1.0,2 x Diesels,3.9 in/100 mm,3.9,1.0,0.0,Long and narrow,"Small (500-2,000 tons)",Pole,Medium,Simple arrays (1-2 basic radars),DRBV 51A; G-band,,DRBC 32E; K/I-band,Diodon; Hull-mounted,Forward,2.0,Large (76mm-127mm),4 x MM38 Exocet,,,n,n,0.0,n,0.0,Lorient Naval Dockyard,1977.0,1978.0,,
17,10,24,9664c7c3-edd9-4b74-9759-4de42121c380,10-24,Espora, 44,Argentina,Puerto Belgrano,Espora (MEKO 140 A16),Frigate,"Patrol, ASW",1850.0,91.2,11.1,3.4,Monohull,Sleek,Fine,27.0,93.0,Single continuous,1,Single compact,1.0,Raked,,1.0,2 x Diesels,3.9 in/100 mm,3.9,1.0,0.0,Long and narrow,"Small (500-2,000 tons)",Pole,Medium,Simple arrays (1-2 basic radars),DRBV 51A; G-band,,DRBC 32E; K/I-band,Diodon; Hull-mounted,Forward,2.0,Medium (30mm-76mm),4 x MM38 Exocet,,,n,n,0.0,n,0.0,Lorient Naval Dockyard,1977.0,1978.0,,
17,10,24,9664c7c3-edd9-4b74-9759-4de42121c380,10-24,Espora, 44,Argentina,Puerto Belgrano,Espora (MEKO 140 A16),Frigate,"Patrol, ASW",1850.0,91.2,11.1,3.4,Monohull,Sleek,Fine,27.0,93.0,Single continuous,1,Single compact,1.0,Raked,,1.0,2 x Diesels,3.9 in/100 mm,3.9,1.0,0.0,Long and narrow,"Small (500-2,000 tons)",Pole,Medium,Simple arrays (1-2 basic radars),DRBV 51A; G-band,,DRBC 32E; K/I-band,Diodon; Hull-mounted,Aft,2.0,Large (76mm-127mm),4 x MM38 Exocet,,,n,n,0.0,n,0.0,Lorient Naval Dockyard,1977.0,1978.0,,
17,10,24,9664c7c3-edd9-4b74-9759-4de42121c380,10-24,Espora, 44,Argentina,Puerto Belgrano,Espora (MEKO 140 A16),Frigate,"Patrol, ASW",1850.0,91.2,11.1,3.4,Monohull,Sleek,Fine,27.0,93.0,Single continuous,1,Single compact,1.0,Raked,,1.0,2 x Diesels,3.9 in/100 mm,3.9,1.0,0.0,Long and narrow,"Small (500-2,000 tons)",Pole,Medium,Simple arrays (1-2 basic radars),DRBV 51A; G-band,,DRBC 32E; K/I-band,Diodon; Hull-mounted,Aft,2.0,Medium (30mm-76mm),4 x MM38 Exocet,,,n,n,0.0,n,0.0,Lorient Naval Dockyard,1977.0,1978.0,,
17,10,24,9664c7c3-edd9-4b74-9759-4de42121c380,10-24,Espora, 45,Argentina,Puerto Belgrano,Espora (MEKO 140 A16),Frigate,"Patrol, ASW",1850.0,91.2,11.1,3.4,Monohull,Sleek,Fine,27.0,93.0,Single continuous,1,Single compact,1.0,Raked,,1.0,2 x Diesels,3.9 in/100 mm,3.9,1.0,0.0,Long and narrow,"Small (500-2,000 tons)",Pole,Medium,Simple arrays (1-2 basic radars),DRBV 51A; G-band,,DRBC 32E; K/I-band,Diodon; Hull-mounted,Forward,2.0,Large (76mm-127mm),4 x MM38 Exocet,,,n,n,0.0,n,0.0,Lorient Naval Dockyard,1977.0,1978.0,,
17,10,24,9664c7c3-edd9-4b74-9759-4de42121c380,10-24,Espora, 45,Argentina,Puerto Belgrano,Espora (MEKO 140 A16),Frigate,"Patrol, ASW",1850.0,91.2,11.1,3.4,Monohull,Sleek,Fine,27.0,93.0,Single continuous,1,Single compact,1.0,Raked,,1.0,2 x Diesels,3.9 in/100 mm,3.9,1.0,0.0,Long and narrow,"Small (500-2,000 tons)",Pole,Medium,Simple arrays (1-2 basic radars),DRBV 51A; G-band,,DRBC 32E; K/I-band,Diodon; Hull-mounted,Forward,2.0,Medium (30mm-76mm),4 x MM38 Exocet,,,n,n,0.0,n,0.0,Lorient Naval Dockyard,1977.0,1978.0,,
17,10,24,9664c7c3-edd9-4b74-9759-4de42121c380,10-24,Espora, 45,Argentina,Puerto Belgrano,Espora (MEKO 140 A16),Frigate,"Patrol, ASW",1850.0,91.2,11.1,3.4,Monohull,Sleek,Fine,27.0,93.0,Single continuous,1,Single compact,1.0,Raked,,1.0,2 x Diesels,3.9 in/100 mm,3.9,1.0,0.0,Long and narrow,"Small (500-2,000 tons)",Pole,Medium,Simple arrays (1-2 basic radars),DRBV 51A; G-band,,DRBC 32E; K/I-band,Diodon; Hull-mounted,Aft,2.0,Large (76mm-127mm),4 x MM38 Exocet,,,n,n,0.0,n,0.0,Lorient Naval Dockyard,1977.0,1978.0,,
17,10,24,9664c7c3-edd9-4b74-9759-4de42121c380,10-24,Espora, 45,Argentina,Puerto Belgrano,Espora (MEKO 140 A16),Frigate,"Patrol, ASW",1850.0,91.2,11.1,3.4,Monohull,Sleek,Fine,27.0,93.0,Single continuous,1,Single compact,1.0,Raked,,1.0,2 x Diesels,3.9 in/100 mm,3.9,1.0,0.0,Long and narrow,"Small (500-2,000 tons)",Pole,Medium,Simple arrays (1-2 basic radars),DRBV 51A; G-band,,DRBC 32E; K/I-band,Diodon; Hull-mounted,Aft,2.0,Medium (30mm-76mm),4 x MM38 Exocet,,,n,n,0.0,n,0.0,Lorient Naval Dockyard,1977.0,1978.0,,
17,10,24,9664c7c3-edd9-4b74-9759-4de42121c380,10-24,Espora, 46,Argentina,Puerto Belgrano,Espora (MEKO 140 A16),Frigate,"Patrol, ASW",1850.0,91.2,11.1,3.4,Monohull,Sleek,Fine,27.0,93.0,Single continuous,1,Single compact,1.0,Raked,,1.0,2 x Diesels,3.9 in/100 mm,3.9,1.0,0.0,Long and narrow,"Small (500-2,000 tons)",Pole,Medium,Simple arrays (1-2 basic radars),DRBV 51A; G-band,,DRBC 32E; K/I-band,Diodon; Hull-mounted,Forward,2.0,Large (76mm-127mm),4 x MM38 Exocet,,,n,n,0.0,n,0.0,Lorient Naval Dockyard,1977.0,1978.0,,
17,10,24,9664c7c3-edd9-4b74-9759-4de42121c380,10-24,Espora, 46,Argentina,Puerto Belgrano,Espora (MEKO 140 A16),Frigate,"Patrol, ASW",1850.0,91.2,11.1,3.4,Monohull,Sleek,Fine,27.0,93.0,Single continuous,1,Single compact,1.0,Raked,,1.0,2 x Diesels,3.9 in/100 mm,3.9,1.0,0.0,Long and narrow,"Small (500-2,000 tons)",Pole,Medium,Simple arrays (1-2 basic radars),DRBV 51A; G-band,,DRBC 32E; K/I-band,Diodon; Hull-mounted,Forward,2.0,Medium (30mm-76mm),4 x MM38 Exocet,,,n,n,0.0,n,0.0,Lorient Naval Dockyard,1977.0,1978.0,,
17,10,24,9664c7c3-edd9-4b74-9759-4de42121c380,10-24,Espora, 46,Argentina,Puerto Belgrano,Espora (MEKO 140 A16),Frigate,"Patrol, ASW",1850.0,91.2,11.1,3.4,Monohull,Sleek,Fine,27.0,93.0,Single continuous,1,Single compact,1.0,Raked,,1.0,2 x Diesels,3.9 in/100 mm,3.9,1.0,0.0,Long and narrow,"Small (500-2,000 tons)",Pole,Medium,Simple arrays (1-2 basic radars),DRBV 51A; G-band,,DRBC 32E; K/I-band,Diodon; Hull-mounted,Aft,2.0,Large (76mm-127mm),4 x MM38 Exocet,,,n,n,0.0,n,0.0,Lorient Naval Dockyard,1977.0,1978.0,,
17,10,24,9664c7c3-edd9-4b74-9759-4de42121c380,10-24,Espora, 46,Argentina,Puerto Belgrano,Espora (MEKO 140 A16),Frigate,"Patrol, ASW",1850.0,91.2,11.1,3.4,Monohull,Sleek,Fine,27.0,93.0,Single continuous,1,Single compact,1.0,Raked,,1.0,2 x Diesels,3.9 in/100 mm,3.9,1.0,0.0,Long and narrow,"Small (500-2,000 tons)",Pole,Medium,Simple arrays (1-2 basic radars),DRBV 51A; G-band,,DRBC 32E; K/I-band,Diodon; Hull-mounted,Aft,2.0,Medium (30mm-76mm),4 x MM38 Exocet,,,n,n,0.0,n,0.0,Lorient Naval Dockyard,1977.0,1978.0,,
18,10,24,238676de-2846-4bef-aeb3-ac6b20957665,10-24,Intrepida,P 85,Argentina,,Intrepida (TNC 45),Fast Attack Craft,Anti-Surface,268.0,44.9,7.0,2.4,Monohull,Sleek,Fine,39.0,39.0,Stealthy/angular,Multiple,Twin fore-aft,2.0,Raked,Fore-aft separated,2.0,2 x Diesels,3 in/76 mm,3.0,1.0,0.0,Long and narrow,"Small (500-2,000 tons)",Enclosed,Medium,Simple arrays (1-2 basic radars),DA-05; E/F-band,Decca 1226; I-band,WM-25; I/J-band,ASO 4; Hull-mounted,Forward,2.0,Large (76mm-127mm),4 x MM38 Exocet,,,y,n,0.0,y,1.0,"AFNE, Rio Santiago",1982.0,1985.0,,
18,10,24,238676de-2846-4bef-aeb3-ac6b20957665,10-24,Intrepida,P 85,Argentina,,Intrepida (TNC 45),Fast Attack Craft,Anti-Surface,268.0,44.9,7.0,2.4,Monohull,Sleek,Fine,39.0,39.0,Stealthy/angular,Multiple,Twin fore-aft,2.0,Raked,Fore-aft separated,2.0,2 x Diesels,3 in/76 mm,3.0,1.0,0.0,Long and narrow,"Small (500-2,000 tons)",Enclosed,Medium,Simple arrays (1-2 basic radars),DA-05; E/F-band,Decca 1226; I-band,WM-25; I/J-band,ASO 4; Hull-mounted,Forward,2.0,Medium (30mm-76mm),4 x MM38 Exocet,,,y,n,0.0,y,1.0,"AFNE, Rio Santiago",1982.0,1985.0,,
18,10,24,238676de-2846-4bef-aeb3-ac6b20957665,10-24,Intrepida,P 85,Argentina,,Intrepida (TNC 45),Fast Attack Craft,Anti-Surface,268.0,44.9,7.0,2.4,Monohull,Sleek,Fine,39.0,39.0,Stealthy/angular,Multiple,Twin fore-aft,2.0,Raked,Fore-aft separated,2.0,2 x Diesels,3 in/76 mm,3.0,1.0,0.0,Long and narrow,"Small (500-2,000 tons)",Enclosed,Medium,Simple arrays (1-2 basic radars),DA-05; E/F-band,Decca 1226; I-band,WM-25; I/J-band,ASO 4; Hull-mounted,Aft,2.0,Large (76mm-127mm),4 x MM38 Exocet,,,y,n,0.0,y,1.0,"AFNE, Rio Santiago",1982.0,1985.0,,
18,10,24,238676de-2846-4bef-aeb3-ac6b20957665,10-24,Intrepida,P 85,Argentina,,Intrepida (TNC 45),Fast Attack Craft,Anti-Surface,268.0,44.9,7.0,2.4,Monohull,Sleek,Fine,39.0,39.0,Stealthy/angular,Multiple,Twin fore-aft,2.0,Raked,Fore-aft separated,2.0,2 x Diesels,3 in/76 mm,3.0,1.0,0.0,Long and narrow,"Small (500-2,000 tons)",Enclosed,Medium,Simple arrays (1-2 basic radars),DA-05; E/F-band,Decca 1226; I-band,WM-25; I/J-band,ASO 4; Hull-mounted,Aft,2.0,Medium (30mm-76mm),4 x MM38 Exocet,,,y,n,0.0,y,1.0,"AFNE, Rio Santiago",1982.0,1985.0,,
18,10,24,238676de-2846-4bef-aeb3-ac6b20957665,10-24,Intrepida, P 86,Argentina,,Intrepida (TNC 45),Fast Attack Craft,Anti-Surface,268.0,44.9,7.0,2.4,Monohull,Sleek,Fine,39.0,39.0,Stealthy/angular,Multiple,Twin fore-aft,2.0,Raked,Fore-aft separated,2.0,2 x Diesels,3 in/76 mm,3.0,1.0,0.0,Long and narrow,"Small (500-2,000 tons)",Enclosed,Medium,Simple arrays (1-2 basic radars),DA-05; E/F-band,Decca 1226; I-band,WM-25; I/J-band,ASO 4; Hull-mounted,Forward,2.0,Large (76mm-127mm),4 x MM38 Exocet,,,y,n,0.0,y,1.0,"AFNE, Rio Santiago",1982.0,1985.0,,
18,10,24,238676de-2846-4bef-aeb3-ac6b20957665,10-24,Intrepida, P 86,Argentina,,Intrepida (TNC 45),Fast Attack Craft,Anti-Surface,268.0,44.9,7.0,2.4,Monohull,Sleek,Fine,39.0,39.0,Stealthy/angular,Multiple,Twin fore-aft,2.0,Raked,Fore-aft separated,2.0,2 x Diesels,3 in/76 mm,3.0,1.0,0.0,Long and narrow,"Small (500-2,000 tons)",Enclosed,Medium,Simple arrays (1-2 basic radars),DA-05; E/F-band,Decca 1226; I-band,WM-25; I/J-band,ASO 4; Hull-mounted,Forward,2.0,Medium (30mm-76mm),4 x MM38 Exocet,,,y,n,0.0,y,1.0,"AFNE, Rio Santiago",1982.0,1985.0,,
18,10,24,238676de-2846-4bef-aeb3-ac6b20957665,10-24,Intrepida, P 86,Argentina,,Intrepida (TNC 45),Fast Attack Craft,Anti-Surface,268.0,44.9,7.0,2.4,Monohull,Sleek,Fine,39.0,39.0,Stealthy/angular,Multiple,Twin fore-aft,2.0,Raked,Fore-aft separated,2.0,2 x Diesels,3 in/76 mm,3.0,1.0,0.0,Long and narrow,"Small (500-2,000 tons)",Enclosed,Medium,Simple arrays (1-2 basic radars),DA-05; E/F-band,Decca 1226; I-band,WM-25; I/J-band,ASO 4; Hull-mounted,Aft,2.0,Large (76mm-127mm),4 x MM38 Exocet,,,y,n,0.0,y,1.0,"AFNE, Rio Santiago",1982.0,1985.0,,
18,10,24,238676de-2846-4bef-aeb3-ac6b20957665,10-24,Intrepida, P 86,Argentina,,Intrepida (TNC 45),Fast Attack Craft,Anti-Surface,268.0,44.9,7.0,2.4,Monohull,Sleek,Fine,39.0,39.0,Stealthy/angular,Multiple,Twin fore-aft,2.0,Raked,Fore-aft separated,2.0,2 x Diesels,3 in/76 mm,3.0,1.0,0.0,Long and narrow,"Small (500-2,000 tons)",Enclosed,Medium,Simple arrays (1-2 basic radars),DA-05; E/F-band,Decca 1226; I-band,WM-25; I/J-band,ASO 4; Hull-mounted,Aft,2.0,Medium (30mm-76mm),4 x MM38 Exocet,,,y,n,0.0,y,1.0,"AFNE, Rio Santiago",1982.0,1985.0,,
19,10,24,b1325bfc-1ee7-4513-bfb2-5fb41330addb,10-24,Baradero,P 61,Argentina,Ushuaia,Baradero (Dabur),Coastal Patrol Craft,Patrol,38.0,19.8,5.5,1.8,Monohull,Sleek,Raked,19.0,9.0,Single continuous,1,Four funnels,4.0,Tall/stack,Close,4.0,4 x Diesels,3 in/76 mm,3.0,1.0,2.0,Long and narrow,Very Small (<500 tons),Pole,Low,Simple arrays (1-2 basic radars),,Decca 626; I-band,,,Forward,1.0,Large (76mm-127mm),2 x MM38 Exocet (Intrepida),,,n,n,0.0,n,0.0,"Lürssen, Bremen",1973.0,1974.0,,
19,10,24,b1325bfc-1ee7-4513-bfb2-5fb41330addb,10-24,Baradero, P 62,Argentina,Ushuaia,Baradero (Dabur),Coastal Patrol Craft,Patrol,38.0,19.8,5.5,1.8,Monohull,Sleek,Raked,19.0,9.0,Single continuous,1,Four funnels,4.0,Tall/stack,Close,4.0,4 x Diesels,3 in/76 mm,3.0,1.0,2.0,Long and narrow,Very Small (<500 tons),Pole,Low,Simple arrays (1-2 basic radars),,Decca 626; I-band,,,Forward,1.0,Large (76mm-127mm),2 x MM38 Exocet (Intrepida),,,n,n,0.0,n,0.0,"Lürssen, Bremen",1973.0,1974.0,,
19,10,24,b1325bfc-1ee7-4513-bfb2-5fb41330addb,10-24,Baradero, P 63,Argentina,Ushuaia,Baradero (Dabur),Coastal Patrol Craft,Patrol,38.0,19.8,5.5,1.8,Monohull,Sleek,Raked,19.0,9.0,Single continuous,1,Four funnels,4.0,Tall/stack,Close,4.0,4 x Diesels,3 in/76 mm,3.0,1.0,2.0,Long and narrow,Very Small (<500 tons),Pole,Low,Simple arrays (1-2 basic radars),,Decca 626; I-band,,,Forward,1.0,Large (76mm-127mm),2 x MM38 Exocet (Intrepida),,,n,n,0.0,n,0.0,"Lürssen, Bremen",1973.0,1974.0,,
19,10,24,b1325bfc-1ee7-4513-bfb2-5fb41330addb,10-24,Baradero, P 64,Argentina,Ushuaia,Baradero (Dabur),Coastal Patrol Craft,Patrol,38.0,19.8,5.5,1.8,Monohull,Sleek,Raked,19.0,9.0,Single continuous,1,Four funnels,4.0,Tall/stack,Close,4.0,4 x Diesels,3 in/76 mm,3.0,1.0,2.0,Long and narrow,Very Small (<500 tons),Pole,Low,Simple arrays (1-2 basic radars),,Decca 626; I-band,,,Forward,1.0,Large (76mm-127mm),2 x MM38 Exocet (Intrepida),,,n,n,0.0,n,0.0,"Lürssen, Bremen",1973.0,1974.0,,
20,10,24,befd04ed-8cb6-4b71-9ae1-3796a16f3f03,10-24,Point,P 65,Argentina,Mar del Plata,Point,Patrol Boat,Patrol,67.0,25.3,5.2,1.8,Monohull,Sleek,Raked,22.0,10.0,Minimal,1,,0.0,,,0.0,2 x Diesels,20 mm,0.79,2.0,0.0,Long and narrow,Very Small (<500 tons),Pole,Very Low,Simple arrays (1-2 basic radars),,I-band,,,Multiple positions,2.0,Small (<30mm - CIWS small caliber),,,,n,n,0.0,n,0.0,Israel Aircraft Industries,,1976.0,,
20,10,24,befd04ed-8cb6-4b71-9ae1-3796a16f3f03,10-24,Point, P 66,Argentina,Mar del Plata,Point,Patrol Boat,Patrol,67.0,25.3,5.2,1.8,Monohull,Sleek,Raked,22.0,10.0,Minimal,1,,0.0,,,0.0,2 x Diesels,20 mm,0.79,2.0,0.0,Long and narrow,Very Small (<500 tons),Pole,Very Low,Simple arrays (1-2 basic radars),,I-band,,,Multiple positions,2.0,Small (<30mm - CIWS small caliber),,,,n,n,0.0,n,0.0,Israel Aircraft Industries,,1976.0,,
21,10,24,b5cc6a39-08fd-4686-b8db-f16971715a39,10-24,Hercules,B 52,Argentina,Puerto Belgrano,Type 42,Destroyer / LCC,"Command, AAW",4100.0,125.6,14.3,5.8,Monohull,Sleek,Fine,30.0,418.0,Minimal,1,Single compact,1.0,Raked,,1.0,2 x Diesels,12.7 mm MG,0.5,,0.0,Long and narrow,Very Small (<500 tons),Pole,Low,Simple arrays (1-2 basic radars),,Raytheon SPS-64; I-band,,,Multiple positions,2.0,Small (<30mm - CIWS small caliber),,,,n,n,0.0,n,0.0,J.Martinac / USCG Yard,1970.0,1970.0,,
